"tcell_line","cluster","Time","n","perc"
"CD8_TEG","9",4.26666666666667,166,29.3805309734513
"CD8_TEG","9",4.3,166,29.0718038528897
"CD8_TEG","9",4.33333333333333,163,28.6971830985915
"CD8_TEG","9",4.36666666666667,161,28.75
"CD8_TEG","9",4.4,161,28.8014311270125
"CD8_TEG","9",4.43333333333333,162,29.0843806104129
"CD8_TEG","9",4.46666666666667,161,29.009009009009
"CD8_TEG","9",4.5,159,28.7003610108303
"CD8_TEG","9",4.53333333333333,158,28.6231884057971
"CD8_TEG","9",4.56666666666667,158,28.1639928698752
"CD8_TEG","9",4.6,162,28.7744227353464
"CD8_TEG","9",4.63333333333333,163,29.3693693693694
"CD8_TEG","9",4.66666666666667,164,29.7640653357532
"CD8_TEG","9",4.7,161,29.5955882352941
"CD8_TEG","9",4.73333333333333,159,29.2817679558011
"CD8_TEG","9",4.76666666666667,160,29.6846011131725
"CD8_TEG","9",4.8,164,30.3703703703704
"CD8_TEG","9",4.83333333333333,166,30.7977736549165
"CD8_TEG","9",4.86666666666667,164,30.6542056074766
"CD8_TEG","9",4.9,164,30.8270676691729
"CD8_TEG","9",4.93333333333333,166,31.3799621928166
"CD8_TEG","9",4.96666666666667,166,31.4990512333966
"CD8_TEG","9",5,165,31.0734463276836
"CD8_TEG","9",5.03333333333333,165,31.3092979127135
"CD8_TEG","9",5.06666666666667,163,30.9297912713472
"CD8_TEG","9",5.1,163,30.812854442344
"CD8_TEG","9",5.13333333333333,166,31.4393939393939
"CD8_TEG","9",5.16666666666667,167,31.5094339622642
"CD8_TEG","9",5.2,174,32.3420074349442
"CD8_TEG","9",5.23333333333333,175,32.5884543761639
"CD8_TEG","9",5.26666666666667,174,32.5233644859813
"CD8_TEG","9",5.3,176,32.9588014981273
"CD8_TEG","9",5.33333333333333,177,33.1460674157303
"CD8_TEG","9",5.36666666666667,174,32.8301886792453
"CD8_TEG","9",5.4,171,32.1428571428571
"CD8_TEG","9",5.43333333333333,169,31.7669172932331
"CD8_TEG","9",5.46666666666667,166,31.4393939393939
"CD8_TEG","9",5.5,166,31.5589353612167
"CD8_TEG","9",5.53333333333333,169,32.0683111954459
"CD8_TEG","9",5.56666666666667,172,32.5141776937618
"CD8_TEG","9",5.6,168,32
"CD8_TEG","9",5.63333333333333,167,31.8095238095238
"CD8_TEG","9",5.66666666666667,166,31.3207547169811
"CD8_TEG","9",5.7,165,31.1320754716981
"CD8_TEG","9",5.73333333333333,164,31.0606060606061
"CD8_TEG","9",5.76666666666667,164,31.2380952380952
"CD8_TEG","9",5.8,165,31.9148936170213
"CD8_TEG","9",5.83333333333333,165,31.8532818532819
"CD8_TEG","9",5.86666666666667,163,31.6504854368932
"CD8_TEG","9",5.9,162,31.5175097276265
"CD8_TEG","9",5.93333333333333,162,31.2138728323699
"CD8_TEG","9",5.96666666666667,162,31.0940499040307
"CD8_TEG","9",6,164,31.7214700193424
"CD8_TEG","9",6.03333333333333,163,31.5280464216634
"CD8_TEG","9",6.06666666666667,161,31.2621359223301
"CD8_TEG","9",6.1,161,31.0810810810811
"CD8_TEG","9",6.13333333333333,161,30.9615384615385
"CD8_TEG","9",6.16666666666667,160,30.7101727447217
"CD8_TEG","9",6.2,158,30.4431599229287
"CD8_TEG","9",6.23333333333333,157,30.1923076923077
"CD8_TEG","9",6.26666666666667,161,30.4924242424242
"CD8_TEG","9",6.3,161,30.1498127340824
"CD8_TEG","9",6.33333333333333,158,30.0380228136882
"CD8_TEG","9",6.36666666666667,156,29.6577946768061
"CD8_TEG","9",6.4,156,29.9424184261036
"CD8_TEG","9",6.43333333333333,153,29.3666026871401
"CD8_TEG","9",6.46666666666667,153,29.3103448275862
"CD8_TEG","9",6.5,152,28.842504743833
"CD8_TEG","9",6.53333333333333,155,29.0806754221388
"CD8_TEG","9",6.56666666666667,159,29.7752808988764
"CD8_TEG","9",6.6,162,30.2803738317757
"CD8_TEG","9",6.63333333333333,163,30.410447761194
"CD8_TEG","9",6.66666666666667,157,29.9618320610687
"CD8_TEG","9",6.7,153,29.1984732824427
"CD8_TEG","9",6.73333333333333,152,29.2307692307692
"CD8_TEG","9",6.76666666666667,149,28.7644787644788
"CD8_TEG","9",6.8,148,28.5714285714286
"CD8_TEG","9",6.83333333333333,152,29.2307692307692
"CD8_TEG","9",6.86666666666667,150,28.957528957529
"CD8_TEG","9",6.9,149,28.8201160541586
"CD8_TEG","9",6.93333333333333,147,28.5992217898833
"CD8_TEG","9",6.96666666666667,148,28.7378640776699
"CD8_TEG","9",7,149,28.7644787644788
"CD8_TEG","9",7.03333333333333,147,28.5436893203883
"CD8_TEG","9",7.06666666666667,146,28.2945736434109
"CD8_TEG","9",7.1,144,28.2907662082515
"CD8_TEG","9",7.13333333333333,142,28.3433133732535
"CD8_TEG","9",7.16666666666667,142,28.2306163021869
"CD8_TEG","9",7.2,144,28.2907662082515
"CD8_TEG","9",7.23333333333333,142,28.0078895463511
"CD8_TEG","9",7.26666666666667,144,28.1800391389432
"CD8_TEG","9",7.3,141,27.6470588235294
"CD8_TEG","9",7.33333333333333,141,27.6470588235294
"CD8_TEG","9",7.36666666666667,139,27.4703557312253
"CD8_TEG","9",7.4,139,27.4703557312253
"CD8_TEG","9",7.43333333333333,139,27.4703557312253
"CD8_TEG","9",7.46666666666667,138,27.3809523809524
"CD8_TEG","9",7.5,136,26.984126984127
"CD8_TEG","9",7.53333333333333,132,26.5060240963855
"CD8_TEG","9",7.56666666666667,130,26.1569416498994
"CD8_TEG","9",7.6,128,25.9634888438134
"CD8_TEG","9",7.63333333333333,130,26.1569416498994
"CD8_TEG","9",7.66666666666667,129,26.008064516129
"CD8_TEG","9",7.7,128,25.6
"CD8_TEG","9",7.73333333333333,132,26.0869565217391
"CD8_TEG","9",7.76666666666667,132,26.2948207171315
"CD8_TEG","9",7.8,130,26.1044176706827
"CD8_TEG","9",7.83333333333333,130,26.2096774193548
"CD8_TEG","9",7.86666666666667,130,26.369168356998
"CD8_TEG","9",7.9,129,26.3803680981595
"CD8_TEG","9",7.93333333333333,129,26.4344262295082
"CD8_TEG","9",7.96666666666667,127,26.0780287474333
"CD8_TEG","9",8,127,25.9713701431493
"CD8_TEG","9",8.03333333333333,127,25.6565656565657
"CD8_TEG","9",8.06666666666667,128,26.1224489795918
"CD8_TEG","9",8.1,126,25.8726899383984
"CD8_TEG","9",8.13333333333333,126,25.609756097561
"CD8_TEG","9",8.16666666666667,121,24.5934959349593
"CD8_TEG","9",8.2,120,24.390243902439
"CD8_TEG","9",8.23333333333333,118,24.2798353909465
"CD8_TEG","9",8.26666666666667,120,24.6913580246914
"CD8_TEG","9",8.3,116,24.0165631469979
"CD8_TEG","9",8.33333333333333,114,23.7995824634656
"CD8_TEG","9",8.36666666666667,114,23.9495798319328
"CD8_TEG","9",8.4,115,24.0585774058577
"CD8_TEG","9",8.43333333333333,116,24.3186582809224
"CD8_TEG","9",8.46666666666667,120,24.7422680412371
"CD8_TEG","9",8.5,120,24.6913580246914
"CD8_TEG","9",8.53333333333333,123,25.4132231404959
"CD8_TEG","9",8.56666666666667,121,25.103734439834
"CD8_TEG","9",8.6,120,25.0521920668058
"CD8_TEG","9",8.63333333333333,121,25
"CD8_TEG","9",8.66666666666667,120,24.896265560166
"CD8_TEG","9",8.7,118,24.7899159663866
"CD8_TEG","9",8.73333333333333,116,24.3186582809224
"CD8_TEG","9",8.76666666666667,114,24.2553191489362
"CD8_TEG","9",8.8,114,24.2553191489362
"CD8_TEG","9",8.83333333333333,114,24.2553191489362
"CD8_TEG","9",8.86666666666667,113,24.3534482758621
"CD8_TEG","9",8.9,111,23.7687366167024
"CD8_TEG","9",8.93333333333333,112,23.9316239316239
