gene_name	A3	A5	A8	A10	A14	A16	A17	A19	A20	A21	A22	A24	B3	B4	B7	B8	B9	B11	B14	B15	B20	B23	B24	C2	C3	C4	C5	C7	C8	C12	C13	C14	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D12	D14	E1	E2	E3	E4	E5	E6	E9	E14	F1	F2	F3	F4	F5	F6	F8	F9	F10	G1	G2	G5	G6	G7	G8	G9	G10	H1	H3	H5	H6	H7	H10	H12	I1	I4	I11	J1	J4	J6	J7	J8	J11	K1	K2	K3	K5	K6	K11	L2	L3	L4	L5	L6	L7	L8	L13	M1	M3	M6	M7	N3	N5	N6	N7	N9	O3	O5	O6	O10	P3	P7	P8
NDUFAF7	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SLC7A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	4	0	0	0	0	0	0	0
SARM1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
POLDIP2	1	0	2	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	19	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	20	0	1	0	0	1	0	0
PLXND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
AK2	0	0	0	0	0	0	2	2	0	0	4	0	1	0	0	0	0	1	0	0	0	1	0	1	0	2	0	2	0	1	1	2	0	1	0	0	2	1	5	1	2	1	0	0	0	2	1	7	0	1	0	0	1	0	0	1	1	1	0	0	0	0	2	1	2	0	2	0	0	2	0	0	2	0	1	1	0	0	3	0	2	0	1	1	0	0	0	0	1	0	0	1	1	0	1	2	1	0	4	0	0	1	1	1	1	0	1	11	2	2	1	0	0	1	2
CD38	0	0	1	2	0	1	0	2	2	0	0	0	0	0	1	0	1	1	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	3	0	2	0	0	0	1	1	0	0	0	3	0	3	0	2	1	2	0	1	0	0	0	0	0	0	0	2	1	0	0	2	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0
FKBP4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	4	0	3	0	0	0	0	0	1	0	9	1	0	2	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	1	0	0	2	2	0	2	0	0	0	1	0	1	0	1	1	0	1	2	1	0	0	0	1	0	1	1	0	0	1	0	3	0	0	0	1	0	0	0	1	0	21.1	1	1	0	0	0	0	4
KDM1A	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	10	0	0	0	0	0	0	0
RBM6	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	7	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	1	0	3	0	0	0	4	0	1	1	0	0	1	0
CAMKK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RECQL	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	0	0	2	0	0	2	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0
VPS50	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
ARHGAP33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NDUFAB1	1	1	4	0	0	0	1	0	0	0	3	2	0	0	0	1	0	2	2	2	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	2	0	1	1	1	2	0	33.1	0	0	5	0	1	0	3	2	1	0	1	0	0	0	0	3	0	0	2	1	0	0	2	0	1	2	1	1	0	0	0	0	0	1	0	1	2	0	1	1	0	0	0	1	1	2	0	3	0	0	2	0	0	0	0	2	1	0	2	44.2	0	1	0	0	0	0	3
SLC25A13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0
ST7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC27	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0
HCCS	0	0	1	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
DVL2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
